"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"93","박물관, 미술관","03_07_05_P","6530000","B04012014000001","2014-08-18","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 포남동 945번지","강원특별자치도 강릉시 난설헌로 105 (포남동)","","자연아놀자박물관","2019-03-15 09:23:07","U","2024-10-11 02:40:00","","367652.848486189","477586.098619638","박물관","","20130528","사립","1종","동물원","","","0","","","","","",
"94","박물관, 미술관","03_07_05_P","6530000","B04012014000002","2014-08-18","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 저동 31번지","강원특별자치도 강릉시 경포로 399 (저동)","","손성목영화박물관","2019-03-15 15:45:17","U","2024-10-11 02:40:00","","367092.484623284","479000.020466716","박물관","","20140728","사립","1종","전문박물관","","","0","0","","","","",
"95","박물관, 미술관","03_07_05_P","6530000","B04012017000002","2017-11-22","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 영월읍 영흥리 893번지 1호","강원특별자치도 영월군 영월읍 금강공원길 84-3","","라디오스타박물관","2023-08-16 15:09:26","U","2024-10-11 02:40:00","","331088.53071093","410305.913457689","박물관","","20150813","공립","1종","전문박물관","","","0","0","","","","",
"96","박물관, 미술관","03_07_05_P","6530000","B04012017000003","2017-12-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 정선군 정선읍 애산리 560번지 0호 2 2동","강원특별자치도 정선군 정선읍 애산로 51-0, 2층 (아리랑박물관)","","아리랑박물관","2025-06-25 10:29:18","U","2025-06-27 02:40:00","","347983.891056917","431681.423746928","박물관","","20160519","공립","1종","전문박물관","","","0","","","","","",
"97","박물관, 미술관","03_07_05_P","6530000","B04012018000001","2018-01-29","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 인제군 기린면 북리 516번지 0호","강원특별자치도 인제군 기린면 상하답로 130-0","","인제스피디움 클래식카 박물관","2025-09-23 11:00:48","U","2025-09-25 02:40:00","","313347.093858807","500672.838290134","박물관","","20171120","사립","1종","전문박물관","","","0","","","","","",
"98","박물관, 미술관","03_07_05_P","6530000","B04012018000002","2018-03-09","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 남면 가정리 474번지 0호  1동","강원특별자치도 춘천시 남면 충효로 1503-0, 1동 (의암류인석유적지)","","의암 류인석 기념관","2019-07-31 09:55:31","U","2024-10-11 02:40:00","","","","박물관","","20180309","공립","1종","전문박물관","","","0","","","","","",
"99","박물관, 미술관","03_07_05_P","6530000","B04012018000003","2018-05-31","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 삼척시 원덕읍 갈남리 301번지 0호  2동","강원특별자치도 삼척시 원덕읍 삼척로 1852-6, 2동 3층 (해신당공원)","","어촌민속전시관","2019-03-15 11:24:00","U","2024-10-11 02:40:00","","406378.381587047","420980.417417675","박물관","","20020710","공립","2종","전시관","","","0","","","","","",
"100","박물관, 미술관","03_07_05_P","6530000","B04012018000008","2018-11-19","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 인제군 인제읍 상동리 415번지 1호","강원특별자치도 인제군 인제읍 인제로156번길 50-0 (산촌민속박물관)","","박인환문학관","2019-03-15 10:37:50","U","2024-10-11 02:40:00","","302748.819084643","507319.618113366","박물관","","20121005","공립","2종","기념관","","","0","","","","","",
"101","박물관, 미술관","03_07_05_P","6530000","B04012018000009","2013-12-31","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 운정동 431번지 0호 1 1동","강원특별자치도 강릉시 운정길 63-0, 1동 (운정동,선교장)","","강릉선교장박물관","2025-06-25 10:30:18","U","2025-06-27 02:40:00","","365993.260152644","477673.201542104","박물관","","20131231","사립","1종","전문박물관","","","0","","","","","",
"102","박물관, 미술관","03_07_05_P","6530000","B04012013000008","2012-12-31","","03","폐업","3","폐업","2025-01-31","","","","","","","강원특별자치도 영월군 북면 문곡리 340번지 1호","강원특별자치도 영월군 북면 밤재로 7","","영월초등교육박물관","2025-02-03 13:35:32","U","2025-02-05 02:40:00","","326965.955837366","417716.513181578","박물관","","20130105","사립","1종","전문박물관","20250131","개인적인 사유","0","","","","","",
